Unnamed: 0,country,year,disorder_Demonstrations,disorder_Political violence,disorder_Political violence; Demonstrations,disorder_Strategic developments,event_Battles,event_Explosions/Remote violence,event_Protests,event_Riots,event_Strategic developments,event_Violence against civilians,perpetrator_Civilians,perpetrator_External/Other forces,perpetrator_Identity militia,perpetrator_Political militia,perpetrator_Protesters,perpetrator_Rebel group,perpetrator_Rioters,perpetrator_State forces,target_Civilians,target_External/Other forces,target_Identity militia,target_Political militia,target_Protesters,target_Rebel group,target_Rioters,target_State forces,fatalities,iso3_o,iso3_d,distw_arithmetic,contig,comlang_off,comlang_ethno,gdp_o,gdp_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_imf_o,tradeflow_imf_d,dyad,tradeflow_baci_synthetic_flag,tradeflow_comtrade_o_synthetic_flag,tradeflow_comtrade_d_synthetic_flag,tradeflow_imf_o_synthetic_flag,tradeflow_imf_d_synthetic_flag,combined_trade_baci
11204,Benin,1998,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,BFA,760.0,1.0,1.0,1.0,2455092.736,2804902.4,759.441,759.441,759.441,667.985,107.297,118.027,BEN_BFA,0.0,0.0,0.0,0.0,0.0,970.436
11225,Benin,1998,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,CIV,759.0,0.0,1.0,1.0,2455092.736,12782570.496,1811.796,1018.958,1811.796,627.976,2109.833,628.865,BEN_CIV,0.0,0.0,0.0,0.0,0.0,84430.22
11262,Benin,1998,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,GHA,415.0,0.0,0.0,0.0,2455092.736,7482072.576,1121.556,1050.239,822.999,145.898,221.035,243.139,BEN_GHA,0.0,0.0,0.0,0.0,0.0,13290.339
11264,Benin,1998,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,GIN,1784.0,0.0,1.0,1.0,2455092.736,3588376.064,5539.0,84.117,5457.0,5757.0,5762.0,5798.0,BEN_GIN,1.0,1.0,1.0,1.0,1.0,11814.0
11266,Benin,1998,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,GMB,2196.0,0.0,0.0,0.0,2455092.736,840285.248,2324.0,17.167,2016.0,3283.0,1957.0,4546.0,BEN_GMB,1.0,1.0,1.0,1.0,1.0,4072.0
11267,Benin,1998,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,GNB,2038.0,0.0,0.0,0.0,2455092.736,206457.552,1361.0,,1201.0,2126.0,126.79,139.469,BEN_GNB,1.0,1.0,1.0,0.0,0.0,2078.0
11303,Benin,1998,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,LBR,1462.0,0.0,0.0,0.0,2455092.736,359600.0,940.691,112.047,940.691,2627.0,1598.0,3767.0,BEN_LBR,0.0,0.0,1.0,1.0,1.0,2174.691
11321,Benin,1998,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,MLI,1255.0,0.0,1.0,0.0,2455092.736,2596828.416,6517.167,6516.382,6269.2,282.048,7796.0,16483.0,BEN_MLI,0.0,0.0,0.0,1.0,1.0,16301.167000000001
11336,Benin,1998,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,NER,769.0,1.0,1.0,1.0,2455092.736,2076737.408,31581.61,8111.302,29003.316,6601.421,3658.774,6663.256,BEN_NER,0.0,0.0,0.0,0.0,0.0,157861.78100000002
11338,Benin,1998,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,NGA,479.0,1.0,0.0,0.0,2455092.736,32004614.144,14980.547,14190.474,14980.547,6554.323,21332.76,23466.035,BEN_NGA,0.0,0.0,0.0,0.0,0.0,18349.261
