Unnamed: 0,country,year,disorder_Demonstrations,disorder_Political violence,disorder_Political violence; Demonstrations,disorder_Strategic developments,event_Battles,event_Explosions/Remote violence,event_Protests,event_Riots,event_Strategic developments,event_Violence against civilians,perpetrator_Civilians,perpetrator_External/Other forces,perpetrator_Identity militia,perpetrator_Political militia,perpetrator_Protesters,perpetrator_Rebel group,perpetrator_Rioters,perpetrator_State forces,target_Civilians,target_External/Other forces,target_Identity militia,target_Political militia,target_Protesters,target_Rebel group,target_Rioters,target_State forces,fatalities,iso3_o,iso3_d,distw_arithmetic,contig,comlang_off,comlang_ethno,gdp_o,gdp_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_imf_o,tradeflow_imf_d,dyad,tradeflow_baci_synthetic_flag,tradeflow_comtrade_o_synthetic_flag,tradeflow_comtrade_d_synthetic_flag,tradeflow_imf_o_synthetic_flag,tradeflow_imf_d_synthetic_flag,combined_trade_baci
10742,Benin,1999,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,BFA,760.0,1.0,1.0,1.0,2488892.416,3014665.472,952.242,952.242,952.242,1531.453,855.775,941.353,BEN_BFA,0.0,0.0,0.0,0.0,0.0,14139.242
10763,Benin,1999,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,CIV,759.0,0.0,1.0,1.0,2488892.416,12556457.984,745.516,740.051,745.516,603.314,2383.145,602.047,BEN_CIV,0.0,0.0,0.0,0.0,0.0,35651.340000000004
10800,Benin,1999,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,GHA,415.0,0.0,0.0,0.0,2488892.416,7718110.72,2187.403,2187.403,13673.0,223.822,8670.0,12604.0,BEN_GHA,0.0,1.0,0.0,1.0,1.0,24069.718999999997
10802,Benin,1999,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,GIN,1784.0,0.0,1.0,1.0,2488892.416,3461282.304,123.071,123.071,5496.0,5793.0,5755.0,5963.0,BEN_GIN,0.0,1.0,1.0,1.0,1.0,6186.071
10804,Benin,1999,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,GMB,2196.0,0.0,0.0,0.0,2488892.416,814724.032,2249.0,74.745,2068.0,3437.0,1934.0,4659.0,BEN_GMB,1.0,1.0,1.0,1.0,1.0,4017.0
10805,Benin,1999,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,GNB,2038.0,0.0,0.0,0.0,2488892.416,224446.656,1350.0,,1317.0,2207.0,1181.0,3121.0,BEN_GNB,1.0,1.0,1.0,1.0,1.0,2171.0
10841,Benin,1999,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,LBR,1462.0,0.0,0.0,0.0,2488892.416,441800.032,2224.0,10.893,1973.0,2931.0,1666.0,4257.0,BEN_LBR,1.0,1.0,1.0,1.0,1.0,3698.0
10859,Benin,1999,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,MLI,1255.0,0.0,1.0,0.0,2488892.416,2570429.696,1506.691,1282.701,653.657,1100.235,643.821,708.203,BEN_MLI,0.0,0.0,0.0,0.0,0.0,11196.691
10874,Benin,1999,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,NER,769.0,1.0,1.0,1.0,2488892.416,2018193.536,8040.477,7657.137,5881.979,6786.784,5424.402,6678.586,BEN_NER,0.0,0.0,0.0,0.0,0.0,13594.83
10876,Benin,1999,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,NGA,479.0,1.0,0.0,0.0,2488892.416,35870793.728,14282.576,1871.643,12849.194,3430.191,437.227,480.949,BEN_NGA,0.0,0.0,0.0,0.0,0.0,19170.624
10907,Benin,1999,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,SEN,2309.0,0.0,1.0,1.0,2488892.416,5144045.056,491.862,486.982,320.195,381.497,319.312,383.557,BEN_SEN,0.0,0.0,0.0,0.0,0.0,25275.264
10911,Benin,1999,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,SLE,1727.0,0.0,0.0,0.0,2488892.416,669384.768,2415.0,,2191.0,3259.0,1829.0,4471.0,BEN_SLE,1.0,1.0,1.0,1.0,1.0,4230.0
10926,Benin,1999,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,TGO,202.0,1.0,1.0,1.0,2488892.416,1576094.464,37131.848,36980.344,23108.0,40069.945,567.16,4126.743,BEN_TGO,0.0,1.0,0.0,0.0,0.0,96887.872
10973,Benin,2000,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,BFA,758.0,1.0,1.0,1.0,2359122.176,2610959.104,1499.851,1464.443,407.937,1566.788,442.696,546.649,BEN_BFA,0.0,0.0,0.0,0.0,0.0,2002.0810000000001
10994,Benin,2000,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,CIV,758.0,0.0,1.0,1.0,2359122.176,10417060.864,723.518,713.933,887.04,240.121,936.341,242.802,BEN_CIV,0.0,0.0,0.0,0.0,0.0,44821.758
11031,Benin,2000,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,GHA,415.0,0.0,0.0,0.0,2359122.176,4982849.024,4877.305,4877.305,142.645,7852.212,5290.956,7852.212,BEN_GHA,0.0,0.0,0.0,0.0,0.0,31497.443
11033,Benin,2000,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,GIN,1784.0,0.0,1.0,1.0,2359122.176,2995361.024,107.928,107.928,5194.0,5284.0,5173.0,5279.0,BEN_GIN,0.0,1.0,1.0,1.0,1.0,5506.928
11035,Benin,2000,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,GMB,2196.0,0.0,0.0,0.0,2359122.176,782913.856,2240.0,27.866,1994.0,3194.0,1775.0,4382.0,BEN_GMB,1.0,1.0,1.0,1.0,1.0,3908.0
11036,Benin,2000,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,GNB,2038.0,0.0,0.0,0.0,2359122.176,370173.856,1632.0,,1496.0,2597.0,1289.0,3427.0,BEN_GNB,1.0,1.0,1.0,1.0,1.0,2687.0
11072,Benin,2000,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,LBR,1462.0,0.0,0.0,0.0,2359122.176,529064.64,2408.0,,2068.0,2903.0,1694.0,4300.0,BEN_LBR,1.0,1.0,1.0,1.0,1.0,2577.085
11090,Benin,2000,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,MLI,1255.0,0.0,1.0,0.0,2359122.176,2422482.432,452.912,64.894,7868.0,507.927,7259.0,507.927,BEN_MLI,0.0,1.0,0.0,1.0,0.0,681.68
11105,Benin,2000,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,NER,766.0,1.0,1.0,1.0,2359122.176,1798374.528,12195.521,11591.277,7433.259,8365.631,7588.527,7827.507,BEN_NER,0.0,0.0,0.0,0.0,0.0,16416.859
11107,Benin,2000,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,NGA,475.0,1.0,0.0,0.0,2359122.176,46385995.776,32981.784,32465.033,2783.029,36022.727,2855.629,36007.414,BEN_NGA,0.0,0.0,0.0,0.0,0.0,48928.785
11138,Benin,2000,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,SEN,2310.0,0.0,1.0,1.0,2359122.176,4679604.736,1258.753,1258.531,1214.414,995.39,1220.634,999.561,BEN_SEN,0.0,0.0,0.0,0.0,0.0,14164.443000000001
11142,Benin,2000,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,SLE,1728.0,0.0,0.0,0.0,2359122.176,635873.984,2332.0,,2056.0,3024.0,1743.0,4390.0,BEN_SLE,1.0,1.0,1.0,1.0,1.0,3911.0
11157,Benin,2000,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,TGO,201.0,1.0,1.0,1.0,2359122.176,1294250.24,2343.069,2195.192,686.455,1890.374,683.584,1889.18,BEN_TGO,0.0,0.0,0.0,0.0,0.0,27081.177
