Unnamed: 0,country,year,disorder_Demonstrations,disorder_Political violence,disorder_Political violence; Demonstrations,disorder_Strategic developments,event_Battles,event_Explosions/Remote violence,event_Protests,event_Riots,event_Strategic developments,event_Violence against civilians,perpetrator_Civilians,perpetrator_External/Other forces,perpetrator_Identity militia,perpetrator_Political militia,perpetrator_Protesters,perpetrator_Rebel group,perpetrator_Rioters,perpetrator_State forces,target_Civilians,target_External/Other forces,target_Identity militia,target_Political militia,target_Protesters,target_Rebel group,target_Rioters,target_State forces,fatalities,iso3_o,iso3_d,distw_arithmetic,contig,comlang_off,comlang_ethno,gdp_o,gdp_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_imf_o,tradeflow_imf_d,dyad,tradeflow_baci_synthetic_flag,tradeflow_comtrade_o_synthetic_flag,tradeflow_comtrade_d_synthetic_flag,tradeflow_imf_o_synthetic_flag,tradeflow_imf_d_synthetic_flag,combined_trade_baci
11666,Benin,1997,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,BFA,760.0,1.0,1.0,1.0,2268301.568,2447668.992,10943.0,,1008.175,551.155,346.086,560.66,BEN_BFA,1.0,0.0,0.0,0.0,0.0,22250.0
11687,Benin,1997,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,CIV,759.0,0.0,1.0,1.0,2268301.568,11722213.376,14079.0,,2043.77,357.312,1975.433,359.793,BEN_CIV,1.0,0.0,0.0,0.0,0.0,35438.0
11724,Benin,1997,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,GHA,415.0,0.0,0.0,0.0,2268301.568,6891433.984,13194.0,,1746.969,1207.293,260.079,286.087,BEN_GHA,1.0,0.0,0.0,0.0,0.0,30733.0
11726,Benin,1997,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,GIN,1784.0,0.0,1.0,1.0,2268301.568,3783788.544,5465.0,,5.133,2.074,5.14,2.716,BEN_GIN,1.0,0.0,0.0,0.0,0.0,11677.0
11728,Benin,1997,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,GMB,2196.0,0.0,0.0,0.0,2268301.568,803633.344,2216.0,,8.58,3057.0,25.699,1.274,BEN_GMB,1.0,0.0,1.0,0.0,0.0,3914.0
11729,Benin,1997,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,GNB,2038.0,0.0,0.0,0.0,2268301.568,268551.008,1379.0,,13.975,2193.0,14.049,15.454,BEN_GNB,1.0,0.0,1.0,0.0,0.0,2198.0
11765,Benin,1997,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,LBR,1462.0,0.0,0.0,0.0,2268301.568,295900.0,1746.0,,358.537,2378.0,41.291,45.42,BEN_LBR,1.0,0.0,1.0,0.0,0.0,2730.0
11783,Benin,1997,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,MLI,1255.0,0.0,1.0,0.0,2268301.568,2475185.664,8794.0,,10296.876,2136.009,1271.782,1398.96,BEN_MLI,1.0,0.0,0.0,0.0,0.0,17803.0
11798,Benin,1997,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,NER,769.0,1.0,1.0,1.0,2268301.568,1845599.744,9713.0,,28793.002,3656.629,3526.825,3440.304,BEN_NER,1.0,0.0,0.0,0.0,0.0,18976.0
11800,Benin,1997,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,NGA,479.0,1.0,0.0,0.0,2268301.568,35822342.144,37612.0,,12616.34,20749.363,1419.982,1561.98,BEN_NGA,1.0,0.0,0.0,0.0,0.0,114713.0
11831,Benin,1997,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,SEN,2309.0,0.0,1.0,1.0,2268301.568,4672504.32,112.628,112.628,69.244,115.501,33.067,107.241,BEN_SEN,0.0,0.0,0.0,0.0,0.0,14709.774000000001
11835,Benin,1997,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,SLE,1727.0,0.0,0.0,0.0,2268301.568,850218.048,2521.0,,2189.0,3297.0,1909.0,4313.0,BEN_SLE,1.0,1.0,1.0,1.0,1.0,4455.0
11850,Benin,1997,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BEN,TGO,202.0,1.0,1.0,1.0,2268301.568,1498950.912,18237.0,,21443.0,3532.229,1503.248,3599.293,BEN_TGO,1.0,1.0,0.0,0.0,0.0,34642.0
11897,Benin,1998,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,BFA,760.0,1.0,1.0,1.0,2455092.736,2804902.4,759.441,759.441,759.441,667.985,107.297,118.027,BEN_BFA,0.0,0.0,0.0,0.0,0.0,970.436
11918,Benin,1998,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,CIV,759.0,0.0,1.0,1.0,2455092.736,12782570.496,1811.796,1018.958,1811.796,627.976,2109.833,628.865,BEN_CIV,0.0,0.0,0.0,0.0,0.0,84430.22
11955,Benin,1998,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,GHA,415.0,0.0,0.0,0.0,2455092.736,7482072.576,1121.556,1050.239,822.999,145.898,221.035,243.139,BEN_GHA,0.0,0.0,0.0,0.0,0.0,13290.339
11957,Benin,1998,2,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,BEN,GIN,1784.0,0.0,1.0,1.0,2455092.736,3588376.064,84.117,84.117,71.209,13.382,1.356,16.17,BEN_GIN,0.0,0.0,0.0,0.0,0.0,128.42000000000002
