model_name,n_train,n_test,rmse,mae,r2,source_csv,source_type,lag,threshold,model,target,rmse_levels,mae_levels,r2_levels
total_conflicts,2892,618,2.037575842393944,1.3992811908507186,0.6309805544471042,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
fatalities,2892,618,2.048960188047606,1.4405652825300157,0.6268454632524572,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
event,2892,618,2.101333618961825,1.4599870152551884,0.6075252661260045,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
total_conflicts + fatalities,2892,618,2.120901590673257,1.4651228904331195,0.6001816507758062,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
event + perpetrator,2892,618,2.108330145305045,1.4756581917627665,0.6049073750731249,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
disorder,2892,618,2.079265917618065,1.4760126275089716,0.6157253322010031,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
perpetrator,2892,618,2.0853190217430204,1.480207394517965,0.6134846949343467,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
disorder + event + perpetrator + target + fatalities,2892,618,2.106217897013768,1.4840344087996462,0.6056986322502238,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
event + perpetrator + target,2892,618,2.130555970117926,1.4875989696757852,0.5965334065978121,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
disorder + event,2892,618,2.1214122707925887,1.4898024295781025,0.5999890875142303,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
target,2892,618,2.097109702549888,1.492346236847012,0.6091015168387296,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
disorder + perpetrator,2892,618,2.138147616408633,1.4971031677729636,0.5936530009730656,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
disorder + event + perpetrator,2892,618,2.141221673296165,1.498056615258796,0.5924837348909626,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
disorder + event + perpetrator + target,2892,618,2.1296505371963206,1.5065732975592918,0.5968762601227564,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
perpetrator + target,2892,618,2.1386420291829893,1.5105906552742223,0.5934650566296222,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
event + target,2892,618,2.125298326830018,1.5137552200561777,0.5985222452632575,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
disorder + target,2892,618,2.1293883473600217,1.5155705189173672,0.5969755143799744,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
disorder + event + target,2892,618,2.150217296712163,1.5198734662662308,0.5890524569918401,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
disorder + perpetrator + target,2892,618,2.172059720951912,1.5403867265703857,0.5806610434993771,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_baci,,,
total_conflicts,2829,613,1.9653765782672072,1.4104302530274353,0.6361429403941055,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
total_conflicts + fatalities,2829,613,1.965208615731516,1.4160418551238765,0.6362051287234032,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
perpetrator,2829,613,1.963631914050605,1.4187375488048866,0.6367886452826816,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
disorder + event + perpetrator,2829,613,1.968950202030812,1.4240908350475057,0.6348185424141641,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
target,2829,613,1.9880059319901937,1.43183041032814,0.6277157997744365,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
event + perpetrator,2829,613,1.9735392124359636,1.4322516455152896,0.633114309959525,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
event + target,2829,613,1.9477001605953976,1.4351163877619006,0.6426585022620157,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
disorder + event + target,2829,613,1.975308244216451,1.4355236376627538,0.6324562806386798,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
fatalities,2829,613,2.0329261375945165,1.4444540522037377,0.6107017489919698,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
event + perpetrator + target,2829,613,1.998794882216415,1.444615104189512,0.6236640466002584,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
disorder + perpetrator,2829,613,1.9923663697569904,1.448066669464078,0.6260808928200874,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
disorder + event,2829,613,1.976092270392864,1.455724528162711,0.6321644567313522,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
disorder,2829,613,1.9798058875155484,1.4588740372313145,0.6307806307469053,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
event,2829,613,2.01509658880595,1.4681162133837655,0.617500396862896,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
disorder + event + perpetrator + target + fatalities,2829,613,2.034295946932481,1.4737565363905891,0.6101769448394745,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
perpetrator + target,2829,613,2.02073496646173,1.4833679573125884,0.6153568822615396,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
disorder + event + perpetrator + target,2829,613,2.0510155977714537,1.4856628133485068,0.6037427880720347,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
disorder + target,2829,613,2.058738107309814,1.5008277281104354,0.600753185198571,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
disorder + perpetrator + target,2829,613,2.0771118511596938,1.5207721146082247,0.5935950205158563,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_o,,,
target,2951,637,1.833584861552813,1.2958065262897347,0.6677528298012745,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_d,,,
total_conflicts,2951,637,1.8549185883915644,1.2968988362008589,0.6599764728875441,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_d,,,
fatalities,2951,637,1.836097225645547,1.306703784480402,0.6668417209179487,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_d,,,
disorder,2951,637,1.8546081764679625,1.3071862798219058,0.6600902660495231,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_d,,,
perpetrator,2951,637,1.8679711513531447,1.313043127986972,0.6551743282998255,ecowas_df_full_lag_zero.csv,non-synthetic,0,,XGBoost,tradeflow_imf_d,,,
